"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Hanging Knee Raise",,"",0,"normal",,5,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Hanging Knee Raise",,"",1,"normal",,6,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Hanging Knee Raise",,"",2,"normal",,5,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Hanging Knee Raise",,"",3,"dropset",,3,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Decline Crunch",,"",0,"normal",,11,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Decline Crunch",,"",1,"normal",,11,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Decline Crunch",,"",2,"dropset",,9,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Decline Crunch",,"",3,"normal",,9,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Crunch (Machine)",,"",0,"normal",75,15,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Crunch (Machine)",,"",1,"normal",75,12,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Crunch (Machine)",,"",2,"normal",75,15,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","bosu Ball Crunch",,"",0,"normal",,12,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","bosu Ball Crunch",,"",1,"normal",,12,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Half Kneeling Cable Rotation",,"",0,"normal",17.5,9,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Half Kneeling Cable Rotation",,"",1,"normal",17.5,9,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Torso Rotation",,"",0,"normal",100,13,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Torso Rotation",,"",1,"normal",115,14,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Back Extension (Weighted Hyperextension)",0,"",0,"normal",25,8,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Back Extension (Weighted Hyperextension)",0,"",1,"dropset",,6,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Back Extension (Weighted Hyperextension)",0,"",2,"normal",25,8,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Back Extension (Weighted Hyperextension)",0,"",3,"dropset",,8,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Back Extension (Weighted Hyperextension)",0,"",4,"normal",25,8,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Back Extension (Weighted Hyperextension)",0,"",5,"dropset",,35,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Side Bend (Dumbbell)",0,"",0,"normal",45,10,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Side Bend (Dumbbell)",0,"",1,"normal",45,11,,,
"Core alt","19 Dec 2024, 06:27","19 Dec 2024, 07:32","Having fun in the sauna","Side Bend (Dumbbell)",0,"",2,"normal",45,10,,,
